Date,Transaction_ID,SKU_or_Product_ID,Product_Name,Transaction_Type,Quantity_Change,Reference,Notes
2026-09-22,OPEN-20260922-001,AS-03-50,FIRST LIGHT 50 mL,OPENING_BALANCE,2,Phase 3 consolidation,"Ledger starts from verified current position; prior history is preserved in 99_Archive/Inventory_Old/INVENTORY.md"
2026-09-22,OPEN-20260922-002,AS-04-50,LAST LOOK 50 mL,OPENING_BALANCE,1,Phase 3 consolidation,Reserved for Shahzar order
2026-09-22,OPEN-20260922-003,AS-06-50,WHITE MUSK 50 mL,OPENING_BALANCE,2,Phase 3 consolidation,"Allocation pending"
2026-09-22,OPEN-20260922-004,AS-10-50,CANDY FLOSS 50 mL,OPENING_BALANCE,2,Phase 3 consolidation,"Allocation pending; 24.51% w/w batch"
2026-09-22,OPEN-20260922-005,AS-11-50,SLOW CARAMEL 50 mL,OPENING_BALANCE,1,Phase 3 consolidation,Fill level pending
2026-09-22,OPEN-20260922-006,AS-03-08,FIRST LIGHT 8 mL,OPENING_BALANCE,2,Phase 3 consolidation,Tester pool
2026-09-22,OPEN-20260922-007,AS-03-04-TESTER,FIRST LIGHT 4 mL tester,OPENING_BALANCE,1,Phase 3 consolidation,Tester pool
2026-09-22,OPEN-20260922-008,AS-06-08,WHITE MUSK 8 mL,OPENING_BALANCE,3,Phase 3 consolidation,Tester pool
2026-09-22,OPEN-20260922-009,AS-10-07-TESTER,CANDY FLOSS 7 mL tester,OPENING_BALANCE,2,Phase 3 consolidation,Tester pool
2026-09-22,OPEN-20260922-010,AS-10-06-TESTER,CANDY FLOSS 6 mL tester,OPENING_BALANCE,1,Phase 3 consolidation,Tester pool
2026-09-22,OPEN-20260922-011,AS-11-08,SLOW CARAMEL 8 mL,OPENING_BALANCE,1,Phase 3 consolidation,Tester pool
2026-09-22,OPEN-20260922-012,AS-04-50-PERSONAL,LAST LOOK 50 mL personal bottle,OPENING_BALANCE,1,Phase 3 consolidation,Not for sale
2026-09-22,OPEN-20260922-013,AS-04-08-REFERENCE,LAST LOOK 8 mL reference sample,OPENING_BALANCE,1,Phase 3 consolidation,Not for sale
2026-09-22,OPEN-20260922-014,AS-12-08-REFERENCE,OLD ESTATE 8 mL reference sample,OPENING_BALANCE,1,Phase 3 consolidation,Not for sale
2026-09-22,OPEN-20260922-015,RM-CKONE-A,CK One perfume oil,OPENING_BALANCE,193,Phase 3 consolidation,Verified current balance
2026-09-22,OPEN-20260922-016,RM-TOBACCO-VANILLA-A,Tobacco Vanilla perfume oil,OPENING_BALANCE,250,Phase 3 consolidation,Verified current balance
2026-09-22,OPEN-20260922-017,RM-1MILLION-A,1 Million perfume oil,OPENING_BALANCE,75,Phase 3 consolidation,Verified current balance
2026-09-22,OPEN-20260922-018,RM-GUCCI-FLORA-A,Gucci Flora perfume oil,OPENING_BALANCE,100,Phase 3 consolidation,Verified current balance
2026-09-22,OPEN-20260922-019,RM-WHITE-MUSK-A,White Musk perfume oil,OPENING_BALANCE,46,Phase 3 consolidation,Verified current balance
2026-09-22,OPEN-20260922-020,RM-OUD-WOOD-A,Oud Wood perfume oil,OPENING_BALANCE,100,Phase 3 consolidation,Verified current balance
2026-09-22,OPEN-20260922-021,RM-ISSEY-MIYAKE-MAN-A,Issey Miyake Man perfume oil,OPENING_BALANCE,25,Phase 3 consolidation,Verified current balance
