domain,relative_path,asset_group,status,operating_note
labels,03_Label_Files/50ml_Final_Sticker_PNGs_Bulk_1/,50 mL sticker PNG set,Current batch source,"Files 1.png through 13.png follow the locked chapter order in 01_Brand_Records/BRAND_SYSTEM.md; approval does not replace print, fit, or batch checks."
labels,03_Label_Files/8ML_LABEL_REVIEW.md,8 mL label review,Active pending review,"Use handwritten white labels until branded 8 mL labels are expressly approved and released."
labels,03_Label_Files/Old_50ml_Size_Archive/,Older 50 mL exports,Historical only,"Do not use for new printing unless expressly selected again."
product-reference,04_Generated_Images/Product_References/,Physical bottle and label references,Reference,"Use for accurate bottle geometry, cap assembly, and applied-label placement."
website-product,04_Generated_Images/Packaging/Single_Product_Mockups/first-light-story-01.png,FIRST LIGHT product mockup,Approved V2 source,"Generated proportions and lettering remain approximate; use the physical reference for packaging accuracy."
website-product,04_Generated_Images/Packaging/Single_Product_Mockups/tobacco-bloom-story-01.png,TOBACCO BLOOM product mockup,Approved V2 source,"Generated proportions and lettering remain approximate; use the physical reference for packaging accuracy."
website-product,04_Generated_Images/Packaging/Single_Product_Mockups/white-musk-story-01.png,WHITE MUSK product mockup,Approved V2 source,"Generated proportions and lettering remain approximate; use the physical reference for packaging accuracy."
website-banner,04_Generated_Images/Website_Selected/launch-three-scents-physical-reference-mockup-02.png,Three-scent launch mockup,Approved V2 source,"Faithful packaging visualization for website review and collection use; not print artwork."
website-banner,04_Generated_Images/Website_Selected/three-scents-riverfront-banner-01.png,Three-scent scenic banner,Approved V2 source,"Illustrative riverfront setting; bottle rendering is not a print master."
website-reference,04_Generated_Images/Website_Selected/product-page-mockup-799-mrp-01.png,Product-page layout study,Reference only,"Use as layout inspiration only; do not carry forward its retired INR 499 price or unapproved copy."
campaign,04_Generated_Images/Campaigns/04-A-New-Chapter/07-closed-cap-visible-atomizer-tube.png,Campaign revision 07,Firebase preview authorized,"Campaign image authorization does not authorize production release or domain changes."
campaign,04_Generated_Images/Campaigns/,Earlier campaign directions,Historical/reference,"Preserve alternatives and revisions; do not mark any image final without explicit founder approval."
packaging,04_Generated_Images/Packaging/Label Concepts/,Early label concepts,Historical/reference,"Not print-ready production artwork."
packaging,04_Generated_Images/Packaging/Shortlisted/03-vintage-perfumery.png,Shortlisted vintage direction,Historical/reference,"Shortlisted concept only; not current label artwork."
