SKU_or_Product_ID,Product_Name,Size_ml,Quantity_On_Hand,Unit,Last_Updated,Status,Notes
AS-03-50,FIRST LIGHT 50 mL,50,1,pcs,2026-09-23,WEB_LAUNCH_VERIFIED,"One bottle allocated to and physically verified for V2 website launch inventory by founder"
AS-01-50,STILL HERE 50 mL,50,2,pcs,2026-09-22,FRIEND_SALE_DISCLOSURE_REQUIRED,"SH-P02 is 30.12% w/w; founder permits friend sale only with concentration disclosed as approximately 30%; labels state 25%"
AS-02-50,TOBACCO BLOOM 50 mL,50,2,pcs,2026-09-23,WEB_LAUNCH_VERIFIED,"Two bottles allocated to and physically verified for V2 website launch inventory by founder; final stickers applied"
AS-04-50,LAST LOOK 50 mL,50,1,pcs,2026-09-22,RESERVED,"LL-P03 filled to 52 mL; final sticker applied; reserved for Shahzar"
AS-05-50,DARK WOOD 50 mL,50,2,pcs,2026-09-22,ON_HAND,DW-P01 output; final stickers applied
AS-06-50,WHITE MUSK 50 mL,50,1,pcs,2026-09-23,WEB_LAUNCH_VERIFIED,"One bottle allocated to and physically verified for V2 website launch inventory by founder"
AS-07-50,GOLDEN ORCHID 50 mL,50,2,pcs,2026-09-22,FRIEND_SALE_DISCLOSURE_REQUIRED,"GO-P01 used 30 mL oil plus 72 g premix; founder permits friend sale only with concentration communicated as approximately 30%; labels state 25%"
AS-08-50,YUZU WAVE 50 mL,50,2,pcs,2026-09-22,ON_HAND,YW-P01 output; final stickers applied
AS-09-50,LAST CALL 50 mL,50,2,pcs,2026-09-22,ON_HAND,"LC-P01 output; one bottle reserved for Shahzar; final stickers applied"
AS-10-50,CANDY FLOSS 50 mL,50,2,pcs,2026-09-22,ON_HAND,"Final labels applied; batch is 24.51% w/w and allocation to confirmed order remains pending"
AS-11-50,SLOW CARAMEL 50 mL,50,1,pcs,2026-09-22,ON_HAND,"Final label applied; fill level and allocation remain pending"
AS-03-08,FIRST LIGHT 8 mL,8,2,pcs,2026-09-22,TESTER_POOL,"Generic handwritten labels; not branded 8 mL labels"
AS-04-08,LAST LOOK 8 mL,8,1,pcs,2026-09-22,ON_HAND_TEMPORARY_LABEL,LL-P03 output; white handwritten label applied
AS-05-08,DARK WOOD 8 mL,8,2,pcs,2026-09-22,ON_HAND_TEMPORARY_LABEL,DW-P01 output; handwritten white labels applied
AS-02-08,TOBACCO BLOOM 8 mL,8,3,pcs,2026-09-22,ON_HAND_TEMPORARY_LABEL,TB-P01 output; handwritten white labels applied
AS-03-04-TESTER,FIRST LIGHT 4 mL tester,4,1,pcs,2026-09-22,TESTER_POOL,Partial bottle from FL-P01
AS-06-08,WHITE MUSK 8 mL,8,3,pcs,2026-09-22,TESTER_POOL,"Generic handwritten labels; not branded 8 mL labels"
AS-07-08,GOLDEN ORCHID 8 mL,8,3,pcs,2026-09-22,ON_HAND_TEMPORARY_LABEL,GO-P01 output; handwritten white labels applied
AS-08-08,YUZU WAVE 8 mL,8,3,pcs,2026-09-22,ON_HAND_TEMPORARY_LABEL,YW-P01 output; handwritten white labels assumed under current operating rule
AS-09-08,LAST CALL 8 mL,8,3,pcs,2026-09-22,ON_HAND_TEMPORARY_LABEL,LC-P01 output; handwritten white labels applied
AS-10-07-TESTER,CANDY FLOSS 7 mL tester,7,2,pcs,2026-09-22,TESTER_POOL,Partial bottles from CF-P01
AS-10-06-TESTER,CANDY FLOSS 6 mL tester,6,1,pcs,2026-09-22,TESTER_POOL,Partial bottle from CF-P01
AS-02-05-TESTER,TOBACCO BLOOM 5 mL tester,5,2,pcs,2026-09-22,ON_HAND_TEMPORARY_LABEL,TB-P01 output in standard 8 mL containers; handwritten white labels applied
AS-05-06-TESTER,DARK WOOD 6 mL tester,6,1,pcs,2026-09-22,ON_HAND_TEMPORARY_LABEL,DW-P01 output in standard 8 mL container; handwritten white label applied
AS-11-08,SLOW CARAMEL 8 mL,8,1,pcs,2026-09-22,TESTER_POOL,"Generic handwritten label; fill level remains pending"
AS-04-50-PERSONAL,LAST LOOK 50 mL personal bottle,50,1,pcs,2026-09-22,NOT_FOR_SALE,Founder personal bottle
AS-04-08-REFERENCE,LAST LOOK 8 mL reference sample,8,1,pcs,2026-09-22,NOT_FOR_SALE,Internal retained sample
AS-12-08-REFERENCE,OLD ESTATE 8 mL reference sample,8,1,pcs,2026-09-22,NOT_FOR_SALE,Internal retained sample OE-A01
RM-CKONE-A,CK One perfume oil,,193,g,2026-09-22,VERIFIED,"250 g opening less 32 g CL-P01 and 25 g FL-P01"
RM-TOBACCO-VANILLA-A,Tobacco Vanilla perfume oil,,223,g,2026-09-22,VERIFIED,27 g taken for TB-P01
